ID,USERID,PACKAGEID,REGDATE,DOMAIN,DOMAINSTATUS,NEXTDUEDATE
572243,59174,82,12/10/2017 00:00:00,,Active,12/10/2019 00:00:00
572244,82728,82,13/10/2017 00:00:00,,Active,13/10/2019 00:00:00
572245,60978,82,13/10/2017 00:00:00,,Active,13/10/2019 00:00:00
572248,78683,82,14/10/2017 00:00:00,,Active,14/10/2019 00:00:00
572252,87359,82,14/10/2017 00:00:00,,Active,14/10/2019 00:00:00
572254,87362,104,14/10/2017 00:00:00,,Active,14/10/2019 00:00:00
572259,87267,154,15/10/2017 00:00:00,,Active,15/10/2019 00:00:00
572260,87370,105,15/10/2017 00:00:00,,Active,15/10/2019 00:00:00
572264,87376,82,16/10/2017 00:00:00,,Active,16/10/2019 00:00:00
572266,87229,82,16/10/2017 00:00:00,,Cancelled,16/10/2019 00:00:00
572270,87387,153,17/10/2017 00:00:00,,Active,17/10/2019 00:00:00
572272,87389,82,17/10/2017 00:00:00,,Active,17/10/2019 00:00:00
572274,72763,84,17/10/2017 00:00:00,,Active,17/10/2019 00:00:00
572277,59298,104,17/10/2017 00:00:00,,Active,17/10/2019 00:00:00
572278,87397,82,17/10/2017 00:00:00,,Active,17/10/2019 00:00:00
572279,87398,83,17/10/2017 00:00:00,,Active,17/10/2019 00:00:00
572282,87377,82,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
572288,87409,104,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
572290,87411,82,18/10/2017 00:00:00,,Active,18/10/2019 00:00:00
572292,87420,82,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
572293,81448,82,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
572294,87423,82,19/10/2017 00:00:00,,Active,19/10/2019 00:00:00
572298,87430,82,20/10/2017 00:00:00,,Active,20/10/2019 00:00:00
572301,87433,82,20/10/2017 00:00:00,,Active,20/10/2019 00:00:00
572302,87434,82,20/10/2017 00:00:00,,Active,20/10/2019 00:00:00
572309,74030,82,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
572310,84913,31,23/10/2017 00:00:00,,Active,24/10/2019 00:00:00
572311,84913,31,23/10/2017 00:00:00,,Active,24/10/2019 00:00:00
572317,86795,104,23/10/2017 00:00:00,,Active,23/10/2019 00:00:00
573870,84042,82,21/04/2018 00:00:00,,Active,21/10/2019 00:00:00
573872,88755,104,22/04/2018 00:00:00,,Active,22/10/2019 00:00:00
573884,89495,84,24/04/2018 00:00:00,,Active,24/10/2019 00:00:00
573886,89496,83,24/04/2018 00:00:00,,Active,24/10/2019 00:00:00
573893,89492,83,24/04/2018 00:00:00,,Active,24/10/2019 00:00:00
575494,91245,82,30/11/2018 00:00:00,,Active,02/10/2019 00:00:00
575496,91699,73,30/11/2018 00:00:00,,Active,02/10/2019 00:00:00
575509,91726,83,03/12/2018 00:00:00,,Active,03/10/2019 00:00:00
575518,91216,82,05/12/2018 00:00:00,,Active,05/10/2019 00:00:00
575522,91749,82,06/12/2018 00:00:00,,Active,06/10/2019 00:00:00
575527,91753,103,06/12/2018 00:00:00,,Active,06/10/2019 00:00:00
575536,91764,103,07/12/2018 00:00:00,,Active,07/10/2019 00:00:00
575537,91765,111,07/12/2018 00:00:00,,Active,07/10/2019 00:00:00
575549,89390,153,11/12/2018 00:00:00,,Active,11/10/2019 00:00:00
577064,94039,168,24/05/2019 00:00:00,,Active,24/10/2019 00:00:00
577065,90500,104,24/05/2019 00:00:00,,Active,24/10/2019 00:00:00
577115,88651,82,31/05/2019 00:00:00,,Active,01/10/2019 00:00:00
577117,94130,104,31/05/2019 00:00:00,,Active,01/10/2019 00:00:00
577122,94136,154,31/05/2019 00:00:00,,Active,01/10/2019 00:00:00
577139,94167,104,03/06/2019 00:00:00,,Active,03/10/2019 00:00:00
577141,94171,82,03/06/2019 00:00:00,,Active,03/10/2019 00:00:00
577147,94174,168,04/06/2019 00:00:00,,Active,04/10/2019 00:00:00
577149,94181,103,04/06/2019 00:00:00,,Active,04/10/2019 00:00:00
577151,94186,82,04/06/2019 00:00:00,,Active,04/10/2019 00:00:00
577158,93110,82,05/06/2019 00:00:00,,Active,05/10/2019 00:00:00
577159,94199,82,05/06/2019 00:00:00,,Active,05/10/2019 00:00:00
572327,80566,82,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
572329,87463,82,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
572330,87466,82,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
572332,67886,15,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
572333,87470,82,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
572335,90988,82,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
572336,87474,82,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
572342,87479,82,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
572343,85541,31,25/10/2017 00:00:00,,Active,28/10/2019 00:00:00
572345,67476,84,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
572347,87379,82,26/10/2017 00:00:00,,Cancelled,26/10/2019 00:00:00
572348,87490,82,26/10/2017 00:00:00,,Active,01/10/2019 00:00:00
572349,87099,82,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
572350,57923,82,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
572351,87492,82,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
572352,71446,153,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
572355,87499,82,27/10/2017 00:00:00,,Active,27/10/2019 00:00:00
572356,87500,82,27/10/2017 00:00:00,,Active,27/10/2019 00:00:00
572357,87501,82,27/10/2017 00:00:00,,Active,27/10/2019 00:00:00
572360,87505,82,27/10/2017 00:00:00,,Active,27/10/2019 00:00:00
572366,60371,82,29/10/2017 00:00:00,,Active,29/10/2019 00:00:00
572369,84151,82,30/10/2017 00:00:00,,Active,30/10/2019 00:00:00
572370,83261,82,30/10/2017 00:00:00,,Active,30/10/2019 00:00:00
572371,87520,104,30/10/2017 00:00:00,,Active,30/10/2019 00:00:00
572373,87521,83,30/10/2017 00:00:00,,Active,30/10/2019 00:00:00
572375,87460,82,30/10/2017 00:00:00,,Active,02/10/2019 00:00:00
572377,87270,82,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
572378,87526,82,31/10/2017 00:00:00,,Active,01/10/2019 00:00:00
572379,87527,82,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
572380,87529,82,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
572382,87530,82,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
572383,87533,153,31/10/2017 00:00:00,,Active,31/10/2019 00:00:00
572416,87581,103,06/11/2017 00:00:00,,Active,06/10/2019 00:00:00
573933,89553,153,30/04/2018 00:00:00,,Active,02/10/2019 00:00:00
573951,89576,82,01/05/2018 00:00:00,,Active,01/10/2019 00:00:00
573952,84437,154,02/05/2018 00:00:00,,Active,02/10/2019 00:00:00
573971,60610,112,03/05/2018 00:00:00,,Active,03/10/2019 00:00:00
573973,89600,82,04/05/2018 00:00:00,,Active,04/10/2019 00:00:00
573993,85451,82,07/05/2018 00:00:00,,Active,07/10/2019 00:00:00
573994,88755,82,07/05/2018 00:00:00,,Active,07/10/2019 00:00:00
574010,89649,168,09/05/2018 00:00:00,,Active,09/10/2019 00:00:00
574013,89651,103,09/05/2018 00:00:00,,Active,09/10/2019 00:00:00
574020,89658,82,10/05/2018 00:00:00,,Active,10/10/2019 00:00:00
