INVOICEID,USERID,TYPE,RELID,DESCRIPTION,AMOUNT,DUEDATE,INVOICE_LABEL
1169303,61178,Hosting,28267,Cloud Lite Plus,4.59,06/01/2019 00:00:00,
1169256,65849,Hosting,574482,Cloud Lite Plus,4.59,17/12/2018 00:00:00,
1169306,91749,Hosting,575522,Cloud Lite Plus,0.69,06/01/2019 00:00:00,
1169308,78381,Hosting,565791,Cloud Ultima,1.79,06/01/2019 00:00:00,
1169309,86924,Hosting,571891,Wordpress Hosting,5.99,06/01/2019 00:00:00,
1169311,86237,Hosting,571366,Cloud Lite Plus,4.59,06/01/2019 00:00:00,
1169312,87581,Hosting,572416,Website Builder,12.95,06/01/2019 00:00:00,
1169314,85888,Hosting,571143,Cloud Lite Plus,4.59,06/01/2019 00:00:00,
1169315,82760,Hosting,568842,Website Builder,12.95,06/01/2019 00:00:00,
1169316,59807,Hosting,555149,Cloud VPS Option 1 PCS,55.45,06/01/2019 00:00:00,
1169317,58329,Hosting,561313,Cloud VPS Option 2 PCS,5.49,06/01/2019 00:00:00,
1169318,83447,Hosting,569353,Cloud VPS Option 1 PCS,3.49,06/01/2019 00:00:00,
1169319,85500,Hosting,570858,Cloud Ultima,1.69,06/01/2019 00:00:00,
1169321,88939,Hosting,573462,Website Builder,12.95,06/01/2019 00:00:00,
1129156,70403,Hosting,560491,Cloud Business Plus,7.99,16/04/2018 00:00:00,
1129218,69586,Hosting,559182,Cloud Lite Plus,45.95,17/04/2018 00:00:00,
1129220,88335,Hosting,572995,Cloud Lite Plus,6.54,17/04/2018 00:00:00,
1129221,77828,Hosting,572997,Cloud Lite Plus,6.54,17/04/2018 00:00:00,
1129223,88737,Hosting,573293,Wordpress Hosting,7.94,17/04/2018 00:00:00,
1129224,86699,Hosting,571700,Cloud Business Plus,9.94,17/04/2018 00:00:00,
1129225,64094,Hosting,564634,Cloud VPS Option 2 PCS,65.45,17/04/2018 00:00:00,
1130233,88081,Hosting,572795,Cloud Lite Plus,4.59,23/04/2018 00:00:00,
1130234,74649,Hosting,563162,Cloud Lite Plus,4.59,23/04/2018 00:00:00,
1130238,84498,Hosting,570113,Cloud Lite Plus,4.59,23/04/2018 00:00:00,
1130241,88404,Hosting,573054,Cloud Lite Plus,4.59,23/04/2018 00:00:00,
1130245,86106,Hosting,571293,Cloud Lite Plus,4.59,23/04/2018 00:00:00,
1130249,75610,Hosting,563865,Cloud Business Plus,7.99,23/04/2018 00:00:00,
1130256,87781,Hosting,572568,Cloud VPS Option 3 PCS,122.45,23/04/2018 00:00:00,
1130262,68806,Hosting,558487,Cloud Lite Plus,4.83,23/04/2018 00:00:00,
1130262,68806,PromoHosting,558487,Promotional Code: ,-0.24,23/04/2018 00:00:00,
1130265,63400,Hosting,552836,Cloud Lite Plus,4.59,23/04/2018 00:00:00,
1130266,80885,Hosting,567585,Cloud Lite Plus,4.59,23/04/2018 00:00:00,
1130270,86424,Hosting,571496,Wordpress Hosting,5.99,23/04/2018 00:00:00,
1131398,61012,Hosting,561983,Level 1 Dedicated Server (01/05/2018,31.39,01/05/2018 00:00:00,
1131399,67356,Hosting,557386,Cloud Lite Plus,4.59,01/05/2018 00:00:00,
1131400,64040,Hosting,553665,Cloud Lite Plus,4.59,01/05/2018 00:00:00,
1131401,84571,Hosting,570173,Cloud Business Plus,7.99,01/05/2018 00:00:00,
1131402,74647,Hosting,563230,Cloud Ultima,14.95,01/05/2018 00:00:00,
1131408,85823,Hosting,571105,Wordpress Hosting,5.99,01/05/2018 00:00:00,
1131410,63568,Hosting,553036,Cloud Lite Plus,4.59,01/05/2018 00:00:00,
1131411,83013,Hosting,569053,Cloud Lite Plus,4.59,01/05/2018 00:00:00,
1131412,69949,Hosting,559552,Cloud VPS Option 2 PCS,49.95,01/05/2018 00:00:00,
1131417,59702,Hosting,570567,Level 1 Dedicated Server,343.95,01/05/2018 00:00:00,
1131418,82908,Hosting,569052,Cloud Lite Plus,4.59,01/05/2018 00:00:00,
1128024,85530,Hosting,570875,Website Builder,9.95,09/04/2018 00:00:00,
1128025,85146,Hosting,570624,Website Builder,7.95,09/04/2018 00:00:00,
1128026,80532,Hosting,567258,Website Builder,7.95,09/04/2018 00:00:00,
1128016,74285,Hosting,567416,Cloud Lite Plus,4.59,02/04/2018 00:00:00,
1128029,63117,Hosting,572442,Enterprise,39.95,09/04/2018 00:00:00,
1128033,67403,Hosting,560442,Cloud VPS Option 3 PCS,128.45,09/04/2018 00:00:00,
1128035,87716,Hosting,573490,Wordpress Hosting,7.99,09/04/2018 00:00:00,
1128037,62858,Hosting,25032,Cloud Business Plus,7.99,09/04/2018 00:00:00,
1128018,87069,Hosting,572174,Cloud Lite Plus,4.59,05/04/2018 00:00:00,
1128043,86090,Hosting,572441,Wordpress Hosting,7.94,09/04/2018 00:00:00,
1128045,82641,Hosting,568861,Cloud Lite Plus,4.59,09/04/2018 00:00:00,
1128046,53979,Hosting,2478,Legacy GLX Beginner Reseller,1.56,09/04/2018 00:00:00,
1128048,84668,Hosting,570874,Cloud Lite Plus,4.59,09/04/2018 00:00:00,
1128049,59614,Hosting,554528,Cloud Business Plus,7.99,09/04/2018 00:00:00,
1128053,69771,Hosting,565330,Cloud Lite Plus,4.59,09/04/2018 00:00:00,
1128063,83130,Hosting,569140,Cloud Lite Plus,4.59,09/04/2018 00:00:00,
1128065,58248,Hosting,54423,Windows Lite,7.95,09/04/2018 00:00:00,
1128066,84271,Hosting,569958,Cloud Lite Plus,4.59,09/04/2018 00:00:00,
1128073,71398,Hosting,569392,Level 1 Dedicated Server,30.34,09/04/2018 00:00:00,
1128075,85059,Hosting,571387,Cloud Lite Plus,4.59,09/04/2018 00:00:00,
1128081,70282,Hosting,573487,Cloud Lite Plus,4.59,09/04/2018 00:00:00,
1128083,87045,Hosting,573492,Cloud Lite Plus,6.54,09/04/2018 00:00:00,
1128084,83222,Hosting,570267,Wordpress,59.99,09/04/2018 00:00:00,
1129232,88732,Hosting,573290,Cloud Lite Plus,4.59,17/04/2018 00:00:00,
1129233,86697,Hosting,571696,Cloud Lite Plus,4.59,17/04/2018 00:00:00,
1129234,78570,Hosting,565907,Cloud Lite Plus,4.59,17/04/2018 00:00:00,
1129235,65948,Hosting,556886,Cloud Business Plus,7.99,17/04/2018 00:00:00,
1129238,79098,Hosting,572993,Cloud Lite Plus,4.59,17/04/2018 00:00:00,
1129242,72668,Hosting,565143,Cloud Lite Plus,4.59,17/04/2018 00:00:00,
1129249,87703,Hosting,572510,Wordpress Hosting,7.94,17/04/2018 00:00:00,
1129250,70903,Hosting,562605,Cloud Lite Plus,4.59,17/04/2018 00:00:00,
1129251,83574,Hosting,569464,Cloud Lite Plus,4.59,17/04/2018 00:00:00,
1129257,80286,Hosting,567079,Cloud Business Plus,7.99,17/04/2018 00:00:00,
1129258,71339,Hosting,560646,Level 2 Dedicated Server,118.99,17/04/2018 00:00:00,
1129260,71462,Hosting,561247,Cloud Lite Plus,4.59,17/04/2018 00:00:00,
1129261,63893,Hosting,554247,R100 Bulk Hosting,54.95,17/04/2018 00:00:00,
1126875,59784,Hosting,49900,Cloud Lite Plus,4.59,02/04/2018 00:00:00,
1126876,72370,Hosting,570807,Cloud Lite Plus,4.59,02/04/2018 00:00:00,
1126807,67476,Hosting,565757,Cloud VPS Custom PCS,6.95,02/04/2018 00:00:00,
1126881,85400,Hosting,570820,Cloud Lite Plus,4.59,02/04/2018 00:00:00,
1126884,83683,Hosting,569537,Cloud Lite Plus,4.59,02/04/2018 00:00:00,
1126885,83671,Hosting,569529,Website Builder,9.95,02/04/2018 00:00:00,
1126889,70727,Hosting,560183,Cloud Business Plus,7.99,02/04/2018 00:00:00,
1126892,75273,Hosting,563653,Cloud Lite Plus,4.59,02/04/2018 00:00:00,
1126893,72594,Hosting,561597,J2000 Tomcat Hosting,14.95,02/04/2018 00:00:00,
1126894,57897,Hosting,560889,Cloud Lite Plus,4.59,02/04/2018 00:00:00,
1126896,84132,Hosting,569853,Cloud Lite Plus,4.59,02/04/2018 00:00:00,
1123457,88630,Hosting,573216,Website Builder,7.95,08/02/2018 00:00:00,
1123485,71397,Hosting,561445,Cloud Business Plus,7.99,11/03/2018 00:00:00,
1123486,78508,Hosting,565857,Cloud Business Plus,7.99,11/03/2018 00:00:00,
1123488,82964,Hosting,569161,Cloud Lite Plus,4.59,11/03/2018 00:00:00,
1123494,58930,Hosting,559225,Cloud VPS Custom PCS,52.98,11/03/2018 00:00:00,
1123495,87644,Hosting,572464,Cloud Ultima,1.69,11/03/2018 00:00:00,
1123501,70024,Hosting,559610,Cloud Lite Plus,4.59,11/03/2018 00:00:00,
1123503,85564,Hosting,570900,Wordpress Hosting,5.99,11/03/2018 00:00:00,
1123504,83144,Hosting,569153,Website Builder,9.95,11/03/2018 00:00:00,
1123506,73901,Hosting,563042,Cloud Ultima,14.95,11/03/2018 00:00:00,
1123507,65306,Hosting,555041,Cloud Lite Plus,4.59,11/03/2018 00:00:00,
1123509,58773,Hosting,562332,Level 2 Dedicated Server,584.95,11/03/2018 00:00:00,
1123509,58773,Hosting,562333,Level 2 Dedicated Server,544.95,11/03/2018 00:00:00,
1123479,81937,Hosting,557034,Cloud Ultima,14.95,07/03/2018 00:00:00,
1123513,66496,Hosting,556322,Website Builder,12.95,11/03/2018 00:00:00,
1124626,58085,Hosting,569386,Cloud Lite Plus,13.77,08/12/2017 00:00:00,
1124627,58085,Hosting,569386,Cloud Lite Plus,4.59,07/03/2018 00:00:00,
1124643,88729,Hosting,573288,Wordpress Hosting,7.94,16/02/2018 00:00:00,
1124655,85247,Hosting,570684,Cloud Lite Plus,4.59,16/03/2018 00:00:00,
1124664,88051,Hosting,572766,Wordpress Hosting,7.94,19/03/2018 00:00:00,
1124668,86381,Hosting,571466,Website Builder,1.19,19/03/2018 00:00:00,
1124670,69336,Hosting,558953,Cloud VPS Option 2 PCS,72.45,19/03/2018 00:00:00,
1124671,61696,Hosting,560857,Cloud VPS Option 2 PCS,65.45,19/03/2018 00:00:00,
1124676,87724,Hosting,572522,Website Builder,7.95,19/03/2018 00:00:00,
1124677,86366,Hosting,571463,Wordpress Hosting,5.99,19/03/2018 00:00:00,
1124651,77418,Hosting,565104,Cloud Ultima,1.69,12/03/2018 00:00:00,
1124678,77599,Hosting,572025,Cloud Lite Plus,4.59,19/03/2018 00:00:00,
1124680,58459,Hosting,53912,Cloud Lite Plus,4.59,19/03/2018 00:00:00,
1124681,81267,Hosting,567791,Cloud Lite Plus,4.59,19/03/2018 00:00:00,
1124685,68323,Hosting,568226,Cloud Ultima,14.95,19/03/2018 00:00:00,
1124693,59310,Hosting,31032,Cloud Lite Plus,4.59,19/03/2018 00:00:00,
1124694,62345,Hosting,29667,Cloud Business Plus,7.99,19/03/2018 00:00:00,
1124695,86712,Hosting,571708,Cloud Lite Plus,4.59,19/03/2018 00:00:00,
1125753,86424,Hosting,571496,Wordpress Hosting,5.99,23/03/2018 00:00:00,
1125751,82902,Hosting,568949,Cloud Lite Plus,4.59,19/03/2018 00:00:00,
1126958,58039,Hosting,50976,R100 Bulk Hosting,7.75,03/04/2018 00:00:00,
1126966,53925,Hosting,2419,Legacy GLX Home,5.63,03/04/2018 00:00:00,
1126970,84478,Hosting,570828,Cloud Lite Plus,4.59,03/04/2018 00:00:00,
1126971,69336,Hosting,560395,Cloud VPS Option 2 PCS,72.45,03/04/2018 00:00:00,
1126977,62482,Hosting,28564,Cloud Lite Plus,4.59,03/04/2018 00:00:00,
1126982,65856,Hosting,565036,Cloud Lite Plus,4.59,03/04/2018 00:00:00,
1126984,81093,Hosting,567642,Cloud Business Plus,7.99,03/04/2018 00:00:00,
1126988,79690,Hosting,566698,Cloud Lite Plus,4.59,03/04/2018 00:00:00,
1126989,88150,Hosting,572842,Wordpress Hosting,7.94,03/04/2018 00:00:00,
1126993,75619,Hosting,570199,Cloud Lite Plus,4.59,03/04/2018 00:00:00,
1126999,69105,Hosting,572657,Cloud Lite Plus,6.54,03/04/2018 00:00:00,
1127001,76548,Hosting,564516,Cloud Lite Plus,4.59,03/04/2018 00:00:00,
1127002,64785,Hosting,554462,Cloud Business Plus,7.99,03/04/2018 00:00:00,
1123477,72326,Hosting,561382,Cloud Business Plus,7.99,04/03/2018 00:00:00,
1123516,64417,Hosting,554129,Cloud Business Plus,7.99,11/03/2018 00:00:00,
1123518,73552,Hosting,562330,Cloud Business Plus,7.99,11/03/2018 00:00:00,
1123523,69532,Hosting,559137,Cloud Lite Plus,4.59,11/03/2018 00:00:00,
1123524,82817,Hosting,568879,Website Builder,9.95,11/03/2018 00:00:00,
1123480,83473,Hosting,569371,Cloud Lite Plus,6.54,07/03/2018 00:00:00,
1123527,82327,Hosting,571408,Cloud Lite Plus,4.59,11/03/2018 00:00:00,
1123532,84296,Hosting,569981,Cloud Lite Plus,4.59,11/03/2018 00:00:00,
1123481,78151,Hosting,568344,Cloud Lite Plus,4.59,07/03/2018 00:00:00,
1123538,69261,Hosting,558885,Cloud Lite Plus,4.59,11/03/2018 00:00:00,
1123509,58773,Hosting,562356,Hype,0,11/03/2018 00:00:00,
1123482,88630,Hosting,573216,Website Builder,7.95,08/03/2018 00:00:00,
1124696,88334,Hosting,573015,Wordpress Hosting,7.99,19/03/2018 00:00:00,
1124653,66496,Hosting,572973,Website Builder,12.95,15/03/2018 00:00:00,
1124698,81448,Hosting,572293,Cloud Lite Plus,4.59,19/03/2018 00:00:00,
1124699,57887,Hosting,573018,Cloud VPS Option 1 PCS,29.95,19/03/2018 00:00:00,
1124704,85292,Hosting,570719,Cloud Business Plus,7.99,19/03/2018 00:00:00,
1124707,86356,Hosting,571464,Cloud Lite Plus,4.59,19/03/2018 00:00:00,
1124660,88729,Hosting,573288,Wordpress Hosting,7.94,16/03/2018 00:00:00,
1124709,84478,Hosting,570981,Cloud Lite Plus,4.59,19/03/2018 00:00:00,
1124748,88732,Hosting,573290,Cloud Lite Plus,4.59,17/02/2018 00:00:00,
1124752,77103,Hosting,573292,Website Builder,0.29,17/02/2018 00:00:00,
1125878,84958,Hosting,570464,Cloud Lite Plus,4.59,27/03/2018 00:00:00,
1125888,75989,Hosting,565465,Cloud Lite Plus,4.59,27/03/2018 00:00:00,
1125858,78328,Hosting,567764,Cloud Lite Plus,4.59,16/03/2018 00:00:00,
1125898,75669,Hosting,563901,Cloud Business Plus,7.99,27/03/2018 00:00:00,
1125911,81672,Hosting,568057,Cloud Ultima,2.49,27/03/2018 00:00:00,
1127096,62445,Hosting,554806,Cloud Lite Plus,4.59,01/03/2018 00:00:00,
1127106,87905,Hosting,572659,Level 1 Dedicated Server (04/04/2018,3.07,04/04/2018 00:00:00,
1127107,88568,Hosting,573164,Website Builder,7.95,04/04/2018 00:00:00,
1127109,79559,Hosting,569552,Website Builder,9.95,04/04/2018 00:00:00,
1127117,68472,Hosting,558202,Cloud Business Plus,7.99,04/04/2018 00:00:00,
1127119,82406,Hosting,568581,Cloud Business Plus,9.94,04/04/2018 00:00:00,
1127122,59702,Hosting,554668,Cloud VPS Option 3 PCS,13.84,04/04/2018 00:00:00,
1127125,60431,Hosting,558832,Reseller Lite,0.5,04/04/2018 00:00:00,
1127132,80891,Hosting,571862,Cloud Lite Plus,4.59,04/04/2018 00:00:00,
1127133,63439,Hosting,552898,Cloud Lite Plus,4.59,04/04/2018 00:00:00,
1123621,79832,Hosting,566784,Cloud Lite Plus,4.59,12/03/2018 00:00:00,
1123612,83036,Hosting,569075,Reseller Lite,0.5,02/03/2018 00:00:00,
1123617,85146,Hosting,570624,Website Builder,7.95,09/03/2018 00:00:00,
1123634,70498,Hosting,560012,Cloud VPS Option 2 PCS,178.35,12/03/2018 00:00:00,
1161868,81235,Hosting,567758,Cloud Lite Plus,4.59,15/11/2018 00:00:00,
1161869,89987,Hosting,574275,Website Builder,12.95,15/11/2018 00:00:00,
1161871,65797,Hosting,555597,Cloud Lite Plus,4.59,15/11/2018 00:00:00,
1161872,89271,Hosting,574053,Cloud Lite Plus,4.59,15/11/2018 00:00:00,
1161875,79598,Hosting,566615,Cloud Ultima,14.95,15/11/2018 00:00:00,
1161876,66496,Hosting,572973,Website Builder,12.95,15/11/2018 00:00:00,
1161828,73552,Hosting,562330,Cloud Business Plus,7.99,11/11/2018 00:00:00,
1161877,73633,Hosting,562390,Cloud Lite Plus,4.59,15/11/2018 00:00:00,
1161878,89995,Hosting,574283,Cloud Lite Plus,6.54,15/11/2018 00:00:00,
1161881,79386,Hosting,558090,Cloud Lite Plus,4.59,15/11/2018 00:00:00,
1161883,88713,Hosting,573274,Website Builder,7.95,15/11/2018 00:00:00,
1161887,69022,Hosting,558683,Cloud Lite Plus,4.59,15/11/2018 00:00:00,
1161888,86400,Hosting,571680,Cloud Lite Plus,4.59,15/11/2018 00:00:00,
1161890,73027,Hosting,561904,Cloud Lite Plus,4.59,15/11/2018 00:00:00,
1161891,78659,Hosting,568683,Cloud Lite Plus,4.59,15/11/2018 00:00:00,
1161893,80069,Hosting,571148,Wordpress Hosting,5.99,15/11/2018 00:00:00,
1161895,70549,Hosting,560040,Cloud Lite Plus,4.59,15/11/2018 00:00:00,
1161835,58773,Hosting,554209,Hype,0.45,15/11/2018 00:00:00,
1161898,85931,Hosting,571173,Cloud VPS Option 1 PCS,29.95,15/11/2018 00:00:00,
1161901,65316,Hosting,555047,Cloud Business Plus,7.99,15/11/2018 00:00:00,
1161902,78763,Hosting,569178,Cloud VPS Option 2 PCS,115.35,15/11/2018 00:00:00,
1161824,86583,Hosting,571794,Cloud Lite Plus,4.59,01/11/2018 00:00:00,
1163012,69346,Hosting,24342,Cloud Business Plus,7.99,22/11/2018 00:00:00,
1163013,83301,Hosting,569240,Website Builder,9.95,22/11/2018 00:00:00,
1163061,79104,Domain,86891,Domain Renewal,24.95,23/10/2018 00:00:00,
1192144,58964,Hosting,562510,Cloud Business Plus,7.99,05/05/2019 00:00:00,
1192144,58964,PromoHosting,562510,Promotional Code: ,-0.02,05/05/2019 00:00:00,
1192180,72717,Hosting,562126,Cloud Lite Plus,4.59,15/05/2019 00:00:00,
1192161,87267,Hosting,572259,Wordpress Hosting,7.99,15/05/2019 00:00:00,
1192181,82858,Hosting,568919,Cloud Lite Plus,4.59,15/05/2019 00:00:00,
1192183,81235,Hosting,567758,Cloud Lite Plus,4.59,15/05/2019 00:00:00,
1192185,89987,Hosting,574275,Website Builder,12.95,15/05/2019 00:00:00,
1192186,65797,Hosting,555597,Cloud Lite Plus,4.59,15/05/2019 00:00:00,
1192188,77807,Hosting,565382,Cloud Business Plus,7.99,15/05/2019 00:00:00,
1192189,89271,Hosting,574053,Cloud Lite Plus,4.59,15/05/2019 00:00:00,
1192145,85226,Hosting,570671,Cloud Lite Plus,4.59,13/05/2019 00:00:00,
1192193,79598,Hosting,566615,Cloud Ultima,14.95,15/05/2019 00:00:00,
1192194,66496,Hosting,572973,Website Builder,12.95,15/05/2019 00:00:00,
1193224,84042,Hosting,573870,Cloud Lite Plus,4.59,21/05/2019 00:00:00,
1193225,79003,Hosting,566183,Cloud VPS Option 2 PCS,71.45,21/05/2019 00:00:00,
1193226,71013,Hosting,570395,Website Builder,14.95,21/05/2019 00:00:00,
1193183,57842,Hosting,46270,Cloud Ultima,14.95,21/05/2019 00:00:00,
1193227,87756,Hosting,572549,Cloud Lite Plus,4.59,21/05/2019 00:00:00,
1193189,93151,Hosting,576508,Cloud Business Plus,0.69,21/05/2019 00:00:00,
1193229,68051,Hosting,570745,Cloud Lite Plus,4.59,21/05/2019 00:00:00,
1193182,91497,Hosting,575416,Website Builder,2.95,20/05/2019 00:00:00,
1193234,84399,Hosting,570397,Cloud Lite Plus,4.59,21/05/2019 00:00:00,
1194350,86106,Hosting,571293,Cloud Lite Plus,4.59,23/05/2019 00:00:00,
1194387,86759,Hosting,571770,Cloud Ultima,2.29,28/05/2019 00:00:00,
1194409,71212,Hosting,560550,Cloud Lite Plus,4.59,28/05/2019 00:00:00,
1177674,72409,Hosting,564680,Cloud Lite Plus,4.59,23/02/2019 00:00:00,
1177675,68402,Hosting,558147,Cloud Lite Plus,4.59,23/02/2019 00:00:00,
1178872,84519,Hosting,570134,Cloud Lite Plus,4.59,24/12/2018 00:00:00,
1180026,92500,Hosting,576031,Website Builder,6.45,05/02/2019 00:00:00,
1180030,92497,Setup,576032,Website Builder,2.45,05/02/2019 00:00:00,
1181131,70480,Setup,576098,Wordpress Hosting,3.95,11/02/2019 00:00:00,
1181131,70480,Hosting,576098,Wordpress Hosting,3.95,11/02/2019 00:00:00,
1181132,87437,Setup,576099,Wordpress Hosting,3.95,11/02/2019 00:00:00,
1181132,87437,Hosting,576099,Wordpress Hosting,3.95,11/02/2019 00:00:00,
1181138,92603,Setup,576101,,4.95,11/02/2019 00:00:00,
1181138,92603,Hosting,576101,Cloud Business Plus,0.69,11/02/2019 00:00:00,
1181154,77052,Setup,576106,,4.95,11/02/2019 00:00:00,
1181154,77052,Hosting,576106,Cloud Lite Plus,4.95,11/02/2019 00:00:00,
1181161,92610,Setup,576109,,4.95,11/02/2019 00:00:00,
1181161,92610,Hosting,576109,Cloud Business Plus,4.95,11/02/2019 00:00:00,
1182246,90522,Hosting,574667,Website Builder,2.95,13/03/2019 00:00:00,
1182253,92702,Hosting,576168,Wordpress Hosting,3.95,18/03/2019 00:00:00,
1182265,91192,Hosting,575194,Cloud Business Plus,1.19,21/03/2019 00:00:00,
1182275,84478,Hosting,574720,Cloud Lite Plus,0.69,21/03/2019 00:00:00,
1182276,71410,Hosting,560695,Cloud Lite Plus,4.59,21/03/2019 00:00:00,
1182283,62597,Hosting,27648,Cloud Lite Plus,4.59,21/03/2019 00:00:00,
1182254,92697,Hosting,576164,Wordpress Hosting,3.95,18/03/2019 00:00:00,
1182285,75900,Hosting,554609,Cloud Ultima,14.95,21/03/2019 00:00:00,
1182252,57887,Hosting,576165,Cloud Ultima,46.95,18/03/2019 00:00:00,
1182255,89737,Hosting,574080,Website Builder,12.95,18/03/2019 00:00:00,
1182244,75913,Hosting,564067,Cloud Business Plus,0.69,14/02/2019 00:00:00,
1182292,72203,Hosting,561292,Cloud Lite Plus,4.59,21/03/2019 00:00:00,
1182257,66754,Hosting,556502,Cloud Business Plus,7.99,18/03/2019 00:00:00,
1182301,64715,Hosting,554409,Cloud Lite Plus,4.59,21/03/2019 00:00:00,
1182263,47998,Hosting,215,Cloud Ultima,20.95,21/03/2019 00:00:00,
1182250,92003,Hosting,575812,Wordpress Hosting,0.59,17/03/2019 00:00:00,
1182266,71155,Hosting,560516,Enterprise,49.95,21/03/2019 00:00:00,
1182312,90291,Hosting,574517,Cloud Lite Plus,4.59,21/03/2019 00:00:00,
1182313,86072,Hosting,571273,Cloud Lite Plus,4.59,21/03/2019 00:00:00,
1182251,91837,Hosting,575581,Wordpress Hosting,0.99,17/03/2019 00:00:00,
1182316,84042,Hosting,573870,Cloud Lite Plus,4.59,21/03/2019 00:00:00,
1182318,79003,Hosting,566183,Cloud VPS Option 2 PCS,71.45,21/03/2019 00:00:00,
1182319,71013,Hosting,570395,Website Builder,14.95,21/03/2019 00:00:00,
1182267,82605,Hosting,568724,Cloud Ultima,16.95,21/03/2019 00:00:00,
1182248,92133,Hosting,575779,Cloud Business Plus,0.69,14/03/2019 00:00:00,
1182247,91812,Hosting,575559,Cloud Lite Plus,4.95,13/03/2019 00:00:00,
1182322,68051,Hosting,570745,Cloud Lite Plus,4.59,21/03/2019 00:00:00,
1182326,84399,Hosting,570397,Cloud Lite Plus,4.59,21/03/2019 00:00:00,
1183387,84958,Hosting,570464,Cloud Lite Plus,4.59,27/03/2019 00:00:00,
1183356,92335,Hosting,575926,Website Builder,4.95,25/03/2019 00:00:00,
1183396,75989,Hosting,565465,Cloud Lite Plus,4.59,27/03/2019 00:00:00,
1183407,75669,Hosting,563901,Cloud Business Plus,7.99,27/03/2019 00:00:00,
1183408,82321,Hosting,569021,Cloud Lite Plus,4.59,27/03/2019 00:00:00,
1183421,81672,Hosting,568057,Cloud Ultima,2.49,27/03/2019 00:00:00,
1184607,92910,Setup,576317,Website Builder,0.01,04/03/2019 00:00:00,
1184607,92910,Hosting,576317,Website Builder,0.01,04/03/2019 00:00:00,
1184629,58039,Hosting,50976,R100 Bulk Hosting,7.75,03/04/2019 00:00:00,
1184631,92433,Hosting,575979,Website Builder,4.95,03/04/2019 00:00:00,
1184619,53925,Hosting,2419,Legacy GLX Home,5.63,03/04/2019 00:00:00,
1184639,84478,Hosting,570828,Cloud Lite Plus,4.59,03/04/2019 00:00:00,
1184640,69336,Hosting,560395,Cloud VPS Option 2 PCS,84.45,03/04/2019 00:00:00,
1185680,92946,Hosting,576391,Website Builder,6.45,09/03/2019 00:00:00,
1185682,92987,Setup,576392,,4.95,09/03/2019 00:00:00,
1185682,92987,Hosting,576392,Cloud Lite Plus,4.95,09/03/2019 00:00:00,
1185696,92990,Setup,576397,Website Builder,0.01,10/03/2019 00:00:00,
1185696,92990,Hosting,576397,Website Builder,0.01,10/03/2019 00:00:00,
1185722,83630,Hosting,571918,Cloud Lite Plus,4.59,09/04/2019 00:00:00,
1185723,89257,Hosting,573756,Website Builder,12.95,09/04/2019 00:00:00,
1185726,62635,Hosting,552757,Cloud Business Plus,7.99,09/04/2019 00:00:00,
1185728,85530,Hosting,570875,Website Builder,9.95,09/04/2019 00:00:00,
1185729,91127,Hosting,575102,Cloud Lite Plus,4.95,09/04/2019 00:00:00,
1185730,85146,Hosting,570624,Website Builder,7.95,09/04/2019 00:00:00,
1186772,93066,Setup,576455,,4.95,15/03/2019 00:00:00,
1186772,93066,Hosting,576455,Cloud Lite Plus,4.95,15/03/2019 00:00:00,
1186797,93071,Setup,576459,,4.95,16/03/2019 00:00:00,
1186797,93071,Hosting,576459,Cloud Business Plus,0.69,16/03/2019 00:00:00,
1187886,84478,Hosting,574720,Cloud Lite Plus,0.69,21/04/2019 00:00:00,
1134093,80483,Hosting,570048,Cloud Lite Plus,4.59,17/05/2018 00:00:00,
1134098,75385,Hosting,566403,Cloud Lite Plus,4.59,17/05/2018 00:00:00,
1135167,89496,Hosting,573886,Cloud Lite Plus,6.59,24/04/2018 00:00:00,
1135186,64970,Hosting,554622,Cloud Lite Plus,4.59,24/05/2018 00:00:00,
1135189,67656,Hosting,570438,Cloud Lite Plus,4.59,24/05/2018 00:00:00,
1135191,53889,Hosting,2385,Cloud Business Plus,7.99,24/05/2018 00:00:00,
1135194,84478,Hosting,570759,Cloud Lite Plus,4.59,24/05/2018 00:00:00,
1135198,58186,Hosting,54587,Cloud Ultima,14.95,24/05/2018 00:00:00,
1135199,88413,Hosting,573063,Cloud Lite Plus,6.54,24/05/2018 00:00:00,
1135200,89495,Hosting,573884,Cloud Business Plus,9.94,24/05/2018 00:00:00,
1135205,86325,Hosting,571502,Website Builder,9.95,24/05/2018 00:00:00,
1135206,87803,Hosting,572586,Website Builder,7.95,24/05/2018 00:00:00,
1135207,57946,Hosting,555086,Cloud Lite Plus,4.59,24/05/2018 00:00:00,
1135208,68807,Hosting,558490,Cloud Lite Plus,4.59,24/05/2018 00:00:00,
1135211,74160,Hosting,567141,Cloud Ultima,20.95,24/05/2018 00:00:00,
1135214,73854,Hosting,564419,Cloud Lite Plus,4.59,24/05/2018 00:00:00,
1135217,62532,Hosting,569751,Cloud Lite Plus,4.59,24/05/2018 00:00:00,
1135181,86424,Hosting,571496,Wordpress Hosting,5.99,23/05/2018 00:00:00,
1135226,64472,Hosting,554194,Cloud Lite Plus,4.59,24/05/2018 00:00:00,
1135228,65353,Hosting,555088,Level 1 Dedicated Server,2.24,24/05/2018 00:00:00,
1135179,57842,Hosting,46270,Cloud Ultima,14.95,21/05/2018 00:00:00,
