ID,USERID,TYPE,REGISTRATIONDATE,DOMAIN,STATUS,NEXTDUEDATE
105530,69564,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105532,72013,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105533,72013,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105534,72013,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105535,72013,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105536,76367,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105537,87440,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105538,87440,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105539,70622,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105540,87471,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105541,87471,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105542,87471,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105544,87472,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105545,87472,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105546,87473,Register,24/10/2017 00:00:00,,Active,24/10/2019 00:00:00
105548,78600,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105549,78600,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105552,63117,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105553,63117,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105554,63117,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105555,63117,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105557,63117,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105558,63117,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105559,63117,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105560,63117,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105562,87474,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105563,87475,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105564,82356,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105565,67396,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105568,87477,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105569,87477,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105572,87480,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105573,75342,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105574,60285,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105576,87482,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105577,87483,Register,26/10/2017 00:00:00,,Active,27/10/2019 00:00:00
105578,87483,Register,26/10/2017 00:00:00,,Active,27/10/2019 00:00:00
105579,87484,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105581,71460,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105582,71460,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105583,71460,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105584,82771,Register,25/10/2017 00:00:00,,Active,25/10/2019 00:00:00
105586,69652,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105587,69652,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105589,57945,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105590,57945,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105591,57945,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105592,57945,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105593,57945,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105594,57945,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105595,57945,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105602,87099,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105605,85219,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105612,87488,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105614,87491,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105615,87492,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105616,87493,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
105617,87493,Register,26/10/2017 00:00:00,,Active,26/10/2019 00:00:00
